Epochs,Top1-FP32,Top5-FP32,Top1-MP,Top5-MP,Top1-Dyn,Top5-Dyn,Top1-BF16,Top5-BF16
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.25,0.04470,0.17330,0.04590,0.16960,0.04590,0.16960,0.03790,0.14190
0.5,0.10560,0.32000,0.10880,0.31540,0.10880,0.31540,0.08900,0.27050
0.75,0.16030,0.41370,0.16010,0.40230,0.16010,0.40230,0.13470,0.35470
1,0.22090,0.49440,0.20050,0.47680,0.20050,0.47680,0.16600,0.42610
1.25,0.27190,0.55810,0.26710,0.55650,0.26190,0.54330,0.22530,0.48950
1.5,0.31480,0.60450,0.31050,0.59810,0.29460,0.59100,0.25890,0.54590
1.75,0.33480,0.63270,0.33060,0.62910,0.32430,0.62530,0.29190,0.57720
2,0.37500,0.66840,0.35080,0.64760,0.35380,0.65210,0.31390,0.60870
2.25,0.39280,0.68140,0.38710,0.67990,0.38660,0.68170,0.34500,0.63620
2.5,0.42020,0.71580,0.42040,0.71400,0.41930,0.71710,0.37450,0.67040
2.75,0.44370,0.73780,0.43850,0.72310,0.44090,0.73730,0.40070,0.69330
3,0.45390,0.74380,0.45160,0.73760,0.45960,0.75090,0.41110,0.71200
3.25,0.47620,0.75990,0.47520,0.75910,0.47770,0.76120,0.44080,0.72580
3.5,0.48740,0.77030,0.49040,0.77050,0.50390,0.77680,0.45390,0.74030
3.75,0.51390,0.78670,0.50360,0.78400,0.51120,0.78760,0.46780,0.75740
4,0.50190,0.78340,0.50870,0.78710,0.51270,0.79650,0.47910,0.76360
4.25,0.52560,0.80380,0.51800,0.79610,0.52720,0.80230,0.48550,0.77570
4.5,0.53410,0.80440,0.52620,0.79970,0.53600,0.80740,0.49320,0.77900
4.75,0.54300,0.81140,0.53630,0.80570,0.52460,0.80110,0.50010,0.78580
5,0.54370,0.81200,0.53660,0.81150,0.53200,0.80990,0.50360,0.78580
5.25,0.55250,0.82330,0.54570,0.81700,0.55250,0.82030,0.51830,0.79540
5.5,0.55700,0.82780,0.55060,0.81670,0.55430,0.82290,0.52890,0.80620
5.75,0.56590,0.82660,0.55480,0.82240,0.55770,0.82600,0.53080,0.81020
6,0.56200,0.82770,0.56810,0.82820,0.56260,0.83100,0.54830,0.82250
6.25,0.56790,0.83740,0.56480,0.82820,0.56780,0.82740,0.53450,0.80790
6.5,0.58170,0.84480,0.57940,0.83710,0.58030,0.83580,0.55980,0.82270
6.75,0.57490,0.83830,0.57810,0.83500,0.57850,0.84110,0.55280,0.82280
7,0.58360,0.84340,0.58320,0.84490,0.57880,0.84260,0.56120,0.82700
7.25,0.58270,0.84310,0.58680,0.84340,0.58250,0.84210,0.55900,0.82630
7.5,0.58030,0.84570,0.58070,0.84120,0.58970,0.84510,0.56600,0.82750
7.75,0.59920,0.84790,0.58510,0.84240,0.58590,0.84690,0.56480,0.83460
8,0.58790,0.85590,0.58860,0.84540,0.57450,0.84160,0.56100,0.83180
8.25,0.58730,0.84290,0.59310,0.84860,0.59560,0.84450,0.57230,0.82990
8.5,0.60590,0.85740,0.59720,0.84710,0.58740,0.84170,0.57470,0.82970
8.75,0.59740,0.85120,0.60220,0.85290,0.59070,0.84650,0.57720,0.84210
9,0.60400,0.85780,0.60280,0.85460,0.59390,0.85260,0.59000,0.84320
9.25,0.59610,0.85130,0.60070,0.85330,0.59020,0.84760,0.57620,0.83230
9.5,0.60480,0.85860,0.59700,0.85580,0.59980,0.85360,0.58380,0.84480
9.75,0.60790,0.86110,0.60620,0.85290,0.60940,0.85650,0.59470,0.84850
10,0.61570,0.86250,0.60770,0.85840,0.60610,0.85900,0.58840,0.84570
10.25,0.61360,0.86150,0.60610,0.85820,0.59970,0.85350,0.58960,0.84620
10.5,0.61460,0.86390,0.61250,0.86140,0.60360,0.85780,0.59190,0.84840
10.75,0.61480,0.85840,0.61800,0.86320,0.60600,0.85900,0.59050,0.85030
11,0.61020,0.85980,0.61180,0.86130,0.59630,0.85330,0.58250,0.84890
11.25,0.61730,0.86680,0.60850,0.86060,0.60970,0.85860,0.58830,0.83880
11.5,0.61370,0.86530,0.60740,0.85600,0.59960,0.85390,0.59180,0.84600
11.75,0.62260,0.86370,0.61810,0.86450,0.60230,0.85550,0.60290,0.85730
12,0.63700,0.87430,0.61060,0.86280,0.60520,0.85480,0.59330,0.84680
12.25,0.61530,0.87210,0.61710,0.86160,0.60250,0.85200,0.58680,0.84060
12.5,0.62650,0.86950,0.62000,0.86520,0.61370,0.86060,0.60670,0.85670
12.75,0.61590,0.86390,0.61910,0.86110,0.62340,0.86530,0.60230,0.85510
13,0.63350,0.87360,0.61240,0.86180,0.62490,0.86910,0.59200,0.84700
13.25,0.63060,0.87330,0.62050,0.86540,0.61660,0.86220,0.60070,0.84950
13.5,0.62600,0.87290,0.62650,0.86690,0.61890,0.86590,0.60510,0.85800
13.75,0.63170,0.86980,0.61740,0.86610,0.60720,0.86230,0.60690,0.86010
14,0.63570,0.87540,0.61780,0.86610,0.60200,0.85830,0.60160,0.85500
14.25,0.63150,0.87280,0.62240,0.86860,0.61750,0.86600,0.60660,0.85310
14.5,0.62790,0.86960,0.62860,0.86880,0.61050,0.86030,0.59620,0.84930
14.75,0.63190,0.87290,0.63720,0.87310,0.62720,0.86840,0.60800,0.85830
15,0.63460,0.87590,0.62520,0.86610,0.61700,0.86450,0.60700,0.86160
15.25,0.62180,0.87310,0.63420,0.87560,0.60810,0.86300,0.59600,0.85110
15.5,0.62700,0.87460,0.63360,0.87050,0.61760,0.86700,0.61450,0.86380
15.75,0.63480,0.87140,0.63850,0.87330,0.63580,0.87480,0.62080,0.86220
16,0.63980,0.87810,0.63580,0.87070,0.61800,0.86650,0.61150,0.86100
16.25,0.62110,0.87020,0.62430,0.86950,0.62480,0.87120,0.60440,0.85920
16.5,0.62960,0.87580,0.64810,0.87760,0.61020,0.86360,0.60940,0.85500
16.75,0.64240,0.87760,0.63770,0.87650,0.62710,0.87160,0.61590,0.86620
17,0.63910,0.87670,0.64540,0.87710,0.62020,0.86480,0.61010,0.85620
17.25,0.62850,0.87200,0.63130,0.87100,0.62480,0.86680,0.61350,0.85710
17.5,0.63890,0.87360,0.63500,0.87670,0.62400,0.86460,0.61080,0.86120
17.75,0.64330,0.87890,0.63490,0.86890,0.63090,0.87310,0.61360,0.86380
18,0.63870,0.88130,0.63360,0.87490,0.61650,0.86880,0.60410,0.85690
18.25,0.64250,0.87480,0.63950,0.87380,0.62200,0.86580,0.60890,0.85770
18.5,0.65330,0.88300,0.63600,0.87520,0.62370,0.87150,0.61850,0.86660
18.75,0.65110,0.88240,0.64210,0.87530,0.63500,0.87440,0.62060,0.86590
19,0.64240,0.88090,0.63890,0.88270,0.62790,0.87360,0.61230,0.86030
19.25,0.64640,0.87430,0.63610,0.87650,0.62960,0.86770,0.60890,0.85770
19.5,0.64150,0.87560,0.63630,0.87540,0.63210,0.87090,0.61250,0.85820
19.75,0.64760,0.88150,0.64120,0.88070,0.62670,0.86950,0.62000,0.86510
20,0.63850,0.87970,0.63590,0.87630,0.63290,0.87100,0.61630,0.86400
20.25,0.64080,0.87980,0.64020,0.87370,0.61960,0.86760,0.61570,0.86360
20.5,0.64220,0.88230,0.65420,0.88640,0.63060,0.87360,0.61360,0.86190
20.75,0.64910,0.87980,0.65680,0.88710,0.63760,0.87890,0.61570,0.86310
21,0.64950,0.88320,0.63390,0.88020,0.62100,0.86760,0.61010,0.86090
21.25,0.65000,0.88550,0.64160,0.87790,0.62090,0.86660,0.61370,0.85910
21.5,0.63570,0.87510,0.63840,0.87940,0.63520,0.87280,0.61890,0.86770
21.75,0.65760,0.88640,0.64000,0.88060,0.63160,0.87370,0.62330,0.86620
22,0.64480,0.88090,0.64050,0.87810,0.63650,0.87290,0.62580,0.87010
22.25,0.65240,0.88590,0.65150,0.88530,0.63280,0.87180,0.61520,0.86300
22.5,0.65060,0.88050,0.65270,0.87860,0.63360,0.87590,0.62980,0.86810
22.75,0.65170,0.88230,0.64320,0.88140,0.63730,0.88100,0.61780,0.86860
23,0.64970,0.89000,0.64090,0.87730,0.62510,0.87070,0.61840,0.86220
23.25,0.65460,0.88690,0.64720,0.88190,0.63040,0.87060,0.61640,0.86130
23.5,0.65310,0.88780,0.64650,0.87960,0.62430,0.86960,0.63090,0.86770
23.75,0.64880,0.88290,0.64250,0.88190,0.64100,0.87690,0.62000,0.86580
24,0.64410,0.88300,0.63920,0.88240,0.62700,0.86980,0.61670,0.86710
24.25,0.64870,0.88930,0.64000,0.87920,0.62910,0.86950,0.60940,0.85930
24.5,0.66110,0.88880,0.65440,0.88700,0.64010,0.87380,0.62930,0.86940
24.75,0.65840,0.88820,0.65940,0.88530,0.65140,0.88030,0.62910,0.87380
25,0.65200,0.88210,0.65460,0.88580,0.63620,0.87790,0.62530,0.86860
25.25,0.65890,0.88690,0.64530,0.88230,0.62670,0.87290,0.62280,0.86850
25.5,0.65970,0.88520,0.64810,0.88160,0.63950,0.87660,0.62680,0.86930
25.75,0.65640,0.88240,0.65360,0.88640,0.64040,0.87960,0.61980,0.86830
26,0.65490,0.88600,0.65070,0.88430,0.62870,0.87660,0.62800,0.86480
26.25,0.64770,0.88310,0.65070,0.88490,0.62920,0.87220,0.61990,0.86520
26.5,0.65570,0.88390,0.66270,0.88690,0.63550,0.87830,0.63160,0.86780
26.75,0.65790,0.88550,0.64720,0.88140,0.64780,0.88020,0.62530,0.87070
27,0.65820,0.88910,0.64650,0.88300,0.63580,0.87740,0.61860,0.86830
27.25,0.65150,0.88230,0.65010,0.88450,0.62430,0.86970,0.61800,0.86520
27.5,0.66690,0.88780,0.64920,0.88450,0.64750,0.88090,0.63630,0.87150
27.75,0.65100,0.88500,0.66070,0.88460,0.64780,0.88200,0.62300,0.86910
28,0.65980,0.89300,0.64430,0.88160,0.64350,0.87880,0.62890,0.87350
28.25,0.65650,0.88940,0.65180,0.88040,0.63390,0.87540,0.62730,0.86410
28.5,0.66250,0.88840,0.65220,0.88750,0.64010,0.88080,0.62580,0.86680
28.75,0.65060,0.88690,0.64260,0.88180,0.62930,0.87770,0.62460,0.87210
29,0.65970,0.88970,0.66120,0.88390,0.63430,0.87530,0.62080,0.86040
29.25,0.65430,0.88760,0.64180,0.88070,0.63730,0.87470,0.63980,0.86920
29.5,0.66400,0.88790,0.65390,0.88320,0.64120,0.87860,0.62020,0.86500
29.75,0.65040,0.88450,0.65350,0.88450,0.64670,0.87730,0.62150,0.86700
30,0.65960,0.88690,0.64570,0.88140,0.64390,0.87930,0.62480,0.87030
30.25,0.73920,0.92660,0.73460,0.92090,0.72080,0.91950,0.71070,0.91440
30.5,0.75120,0.93040,0.74640,0.92790,0.72810,0.92430,0.72170,0.92000
30.75,0.75770,0.93060,0.75100,0.92960,0.73550,0.92540,0.72800,0.92050
31,0.75830,0.93270,0.75340,0.93000,0.73630,0.92660,0.72710,0.92110
31.25,0.75920,0.93390,0.75450,0.93000,0.74080,0.92600,0.72820,0.92160
31.5,0.76140,0.93620,0.75860,0.93340,0.73950,0.92790,0.73020,0.92140
31.75,0.75780,0.93450,0.75860,0.93340,0.74500,0.92680,0.73160,0.92310
32,0.75970,0.93370,0.75760,0.93430,0.74200,0.92700,0.73080,0.92300