labels,FP32,MP,DYN100,DYN300,DYN500,DYN1000,DYN2000
ov0,1.000,1.000,0.580,0.540,0.530,0.520,0.520
ov10,1.000,0.990,0.580,0.540,0.530,0.520,0.520
ov20,1.000,0.980,0.580,0.540,0.530,0.520,0.520
ov30,1.000,0.970,0.580,0.540,0.530,0.520,0.520
ov40,1.000,0.950,0.580,0.540,0.530,0.520,0.520
ov50,1.000,0.940,0.570,0.540,0.530,0.520,0.520
ov60,1.000,0.910,0.570,0.540,0.530,0.520,0.520
ov70,1.000,0.890,0.570,0.540,0.530,0.520,0.520
ov80,1.000,0.860,0.560,0.530,0.530,0.520,0.520
ov90,1.000,0.810,0.560,0.530,0.520,0.520,0.510
ov100,1.000,0.750,0.550,0.530,0.520,0.520,0.510