Epochs,FP32,BF16\_FMA-FP32\_WU\_BN,MP\_FMA-FP32\_WU\_BN,dynamicEma100,dynamicEma300,dynamicEma500,dynamicEma1000,dynamicEma2000
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.25,0.01950,0.01140,0.00760,0.01050,0.01030,0.00890,0.01000,0.01000
0.5,0.02000,0.01820,0.01060,0.00840,0.00810,0.00570,0.00690,0.00610
0.75,0.03400,0.01550,0.01110,0.02130,0.02030,0.00970,0.00880,0.01760
1,0.04370,0.02270,0.02060,0.01190,0.01880,0.01610,0.01140,0.01310
1.25,0.05420,0.03550,0.03130,0.02260,0.02120,0.02130,0.02410,0.01740
1.5,0.08530,0.03610,0.04700,0.02070,0.02400,0.02300,0.02520,0.02430
1.75,0.05550,0.06520,0.07140,0.03480,0.05780,0.05230,0.04020,0.04080
2,0.11160,0.07000,0.08970,0.04360,0.04210,0.05200,0.04300,0.03570
2.25,0.08850,0.08520,0.09150,0.07460,0.09610,0.09430,0.10370,0.07950
2.5,0.20580,0.08860,0.08630,0.13940,0.12100,0.11060,0.13320,0.11850
2.75,0.19720,0.14740,0.15760,0.14110,0.18840,0.15730,0.21920,0.17370
3,0.25120,0.14730,0.20050,0.16880,0.13990,0.19830,0.17800,0.16690
3.25,0.28880,0.11800,0.25630,0.18010,0.19560,0.18340,0.14670,0.20860
3.5,0.31970,0.23750,0.25600,0.17250,0.16640,0.23800,0.20710,0.17280
3.75,0.30950,0.23670,0.27330,0.25720,0.26620,0.29550,0.25700,0.28020
4,0.28660,0.19710,0.24880,0.23630,0.24670,0.32100,0.31040,0.27420
4.25,0.38050,0.15130,0.33220,0.30700,0.25700,0.20750,0.22630,0.24420
4.5,0.36090,0.26710,0.31730,0.30160,0.31960,0.28300,0.35830,0.32220
4.75,0.38260,0.22840,0.32460,0.34630,0.33540,0.34600,0.25850,0.30260
5,0.34480,0.28120,0.32020,0.23000,0.29770,0.27470,0.32320,0.27100
5.25,0.30300,0.31440,0.30260,0.30380,0.32850,0.26840,0.34580,0.28680
5.5,0.36100,0.31390,0.37590,0.27990,0.32750,0.33830,0.29470,0.38380
5.75,0.35950,0.28420,0.40080,0.35650,0.35780,0.34730,0.31720,0.31590
6,0.30950,0.36720,0.39400,0.27240,0.32330,0.28770,0.29190,0.29370
6.25,0.36510,0.33280,0.34440,0.23620,0.25960,0.28530,0.31720,0.26470
6.5,0.36040,0.24290,0.33870,0.33400,0.36610,0.30850,0.37870,0.31530
6.75,0.44800,0.23110,0.37200,0.34620,0.29930,0.36850,0.32230,0.19110
7,0.30240,0.27280,0.40840,0.32000,0.37860,0.36740,0.31060,0.33650
7.25,0.36860,0.25280,0.42360,0.29560,0.31550,0.29580,0.29740,0.35680
7.5,0.38430,0.28190,0.41560,0.11810,0.26220,0.36870,0.32900,0.33860
7.75,0.38490,0.27120,0.40700,0.22000,0.31940,0.35690,0.33060,0.32330
8,0.43850,0.29450,0.36990,0.38780,0.32520,0.29410,0.41140,0.32900
8.25,0.45530,0.25520,0.36200,0.34960,0.34640,0.31270,0.31560,0.26670
8.5,0.42550,0.25320,0.42640,0.29610,0.38880,0.26400,0.32170,0.29050
8.75,0.42840,0.28750,0.45840,0.36420,0.25320,0.32960,0.33960,0.21460
9,0.38360,0.22480,0.36480,0.33560,0.35370,0.34120,0.33880,0.32770
9.25,0.37980,0.25180,0.39720,0.35560,0.40270,0.38020,0.20410,0.33030
9.5,0.38650,0.22740,0.24820,0.25700,0.35040,0.29440,0.37500,0.27530
9.75,0.40740,0.19190,0.41610,0.22360,0.24720,0.28390,0.27720,0.27190
10,0.36830,0.16900,0.41720,0.38930,0.31280,0.23210,0.29750,0.26720
10.25,0.43810,0.13830,0.37910,0.31040,0.33510,0.33330,0.34120,0.23120
10.5,0.45400,0.10870,0.39280,0.22330,0.27480,0.23920,0.30600,0.09150
10.75,0.42110,0.10940,0.41670,0.39500,0.33410,0.16480,0.29020,0.11380
11,0.43680,0.15420,0.39540,0.24760,0.25800,0.27070,0.32570,0.10950
11.25,0.41880,0.09370,0.44610,0.29650,0.27790,0.16530,0.32530,0.02470
11.5,0.44170,0.03200,0.38630,0.28140,0.32450,0.19830,0.29140,0.00640
11.75,0.40790,0.03610,0.38200,0.21810,0.19760,0.28470,0.34590,0.00530
12,0.33560,0.03390,0.43590,0.29040,0.37910,0.14550,0.33820,0.01330